Date first added,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK,Founded
1976-08-09,MMM,3M,reports,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",66740,1902
1964-03-31,ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1800,1888
2012-12-31,ABBV,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",1551152,2013 (1888)
2018-05-31,ABMD,Abiomed,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",815094,1981
2011-07-06,ACN,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1467373,1989
2015-08-31,ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",718877,2008
1997-05-05,ADBE,Adobe,reports,Information Technology,Application Software,"San Jose, California",796343,1982
2015-07-09,AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",1158449,1932
1998-10-02,AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",874761,1981
1999-05-28,AFL,Aflac,reports,Financials,Life & Health Insurance,"Columbus, Georgia",4977,1955
2000-06-05,A,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",1090872,1999
1985-04-30,APD,Air Products & Chemicals,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",2969,1940
2007-07-12,AKAM,Akamai Technologies,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1086222,1998
2016-05-13,ALK,Alaska Air Group,reports,Industrials,Airlines,"Seattle, Washington",766421,1985
2016-07-01,ALB,Albemarle Corporation,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",915913,1994
2017-03-20,ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",1035443,1994
2017-06-19,ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",1097149,1997
2013-12-02,ALLE,Allegion,reports,Industrials,Building Products,"New York City, New York",1579241,1908
2016-07-01,LNT,Alliant Energy,reports,Utilities,Electric Utilities,"Madison, Wisconsin",352541,1917
1995-07-13,ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",899051,1931
2014-04-03,GOOGL,Alphabet (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",1652044,1998
2006-04-03,GOOG,Alphabet (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",1652044,1998
1957-03-04,MO,Altria Group,reports,Consumer Staples,Tobacco,"Richmond, Virginia",764180,1985
2005-11-18,AMZN,Amazon,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",1018724,1994
2019-06-07,AMCR,Amcor,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",1748790,2019 (1860)
1991-09-19,AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",1002910,1902
2015-03-23,AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",6201,1934
1957-03-04,AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",4904,1906
1976-06-30,AXP,American Express,reports,Financials,Consumer Finance,"New York City, New York",4962,1850
1980-03-31,AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York City, New York",5272,1919
2007-11-19,AMT,American Tower,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",1053507,1995
2016-03-04,AWK,American Water Works,reports,Utilities,Water Utilities,"Camden, New Jersey",1410636,1886
2005-10-03,AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",820027,1894
2001-08-30,ABC,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",1140859,1985
2013-09-23,AME,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1037868,1930
1992-01-02,AMGN,Amgen,reports,Health Care,Biotechnology,"Thousand Oaks, California",318154,1980
2008-09-30,APH,Amphenol,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",820313,1932
1999-10-12,ADI,Analog Devices,reports,Information Technology,Semiconductors,"Wilmington, Massachusetts",6281,1965
2017-06-19,ANSS,Ansys,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",1013462,1969
2002-07-25,ANTM,Anthem,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",1156039,2014 (1946)
1996-04-23,AON,Aon,reports,Financials,Insurance Brokers,"London, UK",315293,1982 (1919)
2017-07-26,AOS,A. O. Smith,reports,Industrials,Building Products,"Milwaukee, Wisconsin",91142,1916
1997-07-28,APA,APA Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6769,1954
1982-11-30,AAPL,Apple,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",320193,1977
1995-03-16,AMAT,Applied Materials,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",6951,1967
2012-12-24,APTV,Aptiv,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",1521332,1994
1981-07-29,ADM,ADM,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",7084,1902
2018-08-28,ANET,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",1596532,2004
2016-05-31,AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Rolling Meadows, Illinois",354190,1927
2007-04-10,AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York City, New York",1267238,1892
1983-11-30,T,AT&T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",732717,1983 (1885)
2019-02-15,ATO,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",731802,1906
1989-12-01,ADSK,Autodesk,reports,Information Technology,Application Software,"San Rafael, California",769397,1982
1981-03-31,ADP,Automatic Data Processing,reports,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",8670,1949
1997-01-02,AZO,AutoZone,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",866787,1979
